企业名称,区县,行业
河北鸿图锌业有限公司,临城县,其他具体行业
远大阀门集团有限公司,隆尧县,铸造
广宗县艺康橡塑厂,广宗县,橡胶
河北高盛化肥有限公司,平乡县,化肥
巨鹿县卓利程橡胶制品有限公司,巨鹿县,橡胶
邢台跃晟橡胶制品有限公司,巨鹿县,其他具体行业
广宗县盛乾车业有限责任公司,广宗县,橡胶
广宗县昌盛橡塑制品厂,广宗县,橡胶
河北无双橡胶制品有限公司,巨鹿县,橡胶
柏乡县拥军新型墙体砖制造有限公司,柏乡县,新型建材
广宗县广远建材有限公司,广宗县,新型建材
国能威县生物发电有限公司,威县,生物发电
河北德谦环保科技有限公司,巨鹿县,固体废物处理厂
河北和睦建筑材料有限公司,宁晋县,新型建材
河北宏谦建材有限公司,任泽区,新型建材
河北宏旺桥耐火材料有限公司,临城县,新型建材
河北鸿源再生资源回收有限公司,临西县,其他具体行业
河北互为橡胶科技有限公司,巨鹿县,橡胶
河北健民淀粉糖业有限公司,宁晋县,火电
河北金舵岩棉制品有限公司,临城县,新型建材
河北金冠建材有限公司,南和区,新型建材
河北九木生物科技有限公司,威县,化工
河北凯山新能源科技有限公司,沙河市,其他具体行业
河北镁神科技股份有限公司,广宗县,其他具体行业
河北镁泰镁质材料有限公司,广宗县,其他具体行业
河北胜丰肥业有限公司,隆尧县,化肥
河北新盈科创钙业股份有限公司,沙河市,水泥
河北信嘉尔生物科技有限公司,宁晋县,化肥
河北邢台新兴墙材有限公司,信都区,新型建材
河北邢州耐火材料有限公司,临城县,其他具体行业
河北岳腾热力有限公司分厂,平乡县,其他具体行业
河北运林橡塑制品有限公司,清河县,NA
河北卓泰肥业有限公司,内丘县,化工
巨鹿县奥联热力有限公司,巨鹿县,其他服务类
巨鹿县滏阳新区墙体材料厂,巨鹿县,新型建材
巨鹿县华筑建材厂,巨鹿县,新型建材
巨鹿县强瑞墙体材料厂,巨鹿县,新型建材
巨鹿县鑫垚墙体材料厂（普通合伙）,巨鹿县,新型建材
临城科信耐材有限公司,临城县,其他具体行业
临城县圣火耐火材料有限公司,临城县,其他具体行业
临城县信友耐火材料有限公司,临城县,建筑及工业物料堆场
临城中联福石水泥有限公司,临城县,水泥
临城中联水泥有限公司,临城县,水泥
临西县茂盛建材厂,临西县,其他具体行业
临西县盛通建材厂,临西县,新型建材
临西县兴安建材厂,临西县,新型建材
隆尧县盛昌制砖厂,隆尧县,新型建材
隆尧县兴瑞建筑材料有限公司,隆尧县,新型建材
隆尧县亚旭制砖厂,隆尧县,其他具体行业
隆尧县占召制砖厂（普通合伙）,隆尧县,新型建材
南宫市聚纯炭素有限公司,南宫市,其他具体行业
南和县长恒建材有限公司,南和区,新型建材
南和县顺发建材有限公司,南和区,新型建材
宁晋县峰永建筑材料有限公司,宁晋县,其他具体行业
宁晋县佑良建筑材料有限公司,宁晋县,新型建材
宁晋县元帮热力有限公司,宁晋县,其他具体行业
平乡县鼎旺建筑材料厂,平乡县,新型建材
平乡县工盛新型材料有限公司,平乡县,新型建材
平乡县磊鑫新型建材有限公司,平乡县,新型建材
清河县东兴橡胶有限公司,清河县,NA
清河县永正新型建材厂,清河县,新型建材
任县大宋乡机制砖厂,任泽区,新型建材
任县冯村砖厂,任泽区,新型建材
任县龙发空心砖生产有限公司,任泽区,新型建材
沙河市润龙建材有限公司,沙河市,新型建材
沙河市永福糠醛厂,沙河市,化工
沙河市永固建材有限责任公司,沙河市,其他具体行业
沙河市中建新型建材有限公司,沙河市,其他具体行业
威县庆升建材加工厂,威县,新型建材
威县奕臻建筑材料有限公司,威县,新型建材
邢台金牛玻纤有限责任公司,邢东新区,新型建材
邢台民源纸业有限公司,开发区,其他具体行业
邢台庆华再生资源利用有限公司,临城县,化工
邢台市嘉德恒信医疗废物处置有限公司,任泽区,固体废物处理厂
邢台市金泳新型建材有限公司,开发区,新型建材
邢台市众源建筑材料有限公司,宁晋县,新型建材
邢台顺企机械有限公司,内丘县,铸造
邢台通利光缆材料科技有限公司,信都区,其他具体行业
邢台县马河育才煤矸石烧结多孔砖厂,信都区,新型建材
邢台县旭东工贸有限责任公司,信都区,其他具体行业
巨鹿县大麓市政工程有限公司（热源二厂）,巨鹿县,热力生产和供应
巨鹿县大麓市政工程有限公司（热源一厂）,巨鹿县,热力生产和供应
平乡凯盈绿色能源开发有限公司,平乡县,其他能源发电
临城县普利供热有限公司,临城县,热力生产和供应
